movie_id,title,director,top_cast
19995,Avatar,James Cameron,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez
285,Pirates of the Caribbean: At World's End,Gore Verbinski,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsgård Chow Yun-fat
206647,Spectre,Sam Mendes,Daniel Craig Christoph Waltz Léa Seydoux Ralph Fiennes Monica Bellucci
49026,The Dark Knight Rises,Christopher Nolan,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy
49529,John Carter,Andrew Stanton,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church
559,Spider-Man 3,Sam Raimi,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace
38757,Tangled,Byron Howard,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey
99861,Avengers: Age of Ultron,Joss Whedon,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson
767,Harry Potter and the Half-Blood Prince,David Yates,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon
209112,Batman v Superman: Dawn of Justice,Zack Snyder,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg
1452,Superman Returns,Bryan Singer,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey
10764,Quantum of Solace,Marc Forster,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini
58,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsgård Bill Nighy
57201,The Lone Ranger,Gore Verbinski,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale
49521,Man of Steel,Zack Snyder,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane
2454,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley
24428,The Avengers,Joss Whedon,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson
1865,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Johnny Depp Penélope Cruz Ian McShane Kevin McNally Geoffrey Rush
41154,Men in Black 3,Barry Sonnenfeld,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson
